A0;841;1189;33.1;46.8;
A1;594;841;23.4;33.1;
A2;420;594;16.5;23.4;
A3;297;420;11.7;16.5;
A4;210;297;8.3;11.7;
A5;148;210;5.8;8.3;
A6;105;148;4.1;5.8;
A7;74;105;2.9;4.1;
A8;52;74;2.0;2.9;
A9;37;52;1.5;2.0;
A10;26;37;1.0;1.5;
B0;1000;1414;39.4;55.7;
B1;707;1000;27.8;39.4;
B2;500;707;19.7;27.8;
B3;353;500;13.9;19.7;
B4;250;353;9.8;13.9;
B5;176;250;6.9;9.8;
B6;125;176;4.9;6.9;
B7;88;125;3.5;4.9;
B8;62;88;2.4;3.5;
B9;44;62;1.7;2.4;
B10;31;44;1.2;1.7;
C0;917;1297;36.1;51.5;
C1;648;917;25.5;36.1;
C2;458;648;18.0;25.5;
C3;324;458;12.8;18.0;
C4;229;324;9.0;12.8;
C5;162;229;6.4;9.0;
C6;114;162;4.5;6.4;
C7;81;114;3.2;4.5;
C8;57;81;2.2;3.2;
C9;40;57;1.6;2.2;
C10;28;40;1.1;1.6;

